YearBuilt,ExteriorCondition,GarageCondition,LotArea,FullBath,SalePrice,Fireplaces,TotalRooms,Street,HouseStyle,GarageType,Neighborhood,Latitude,Longitude
1958,Typical,Fair,9482,2,135000,0,8,Pave,One_Story,Detchd,North_Ames,42.0404571,-93.6165473
1961,Typical,Typical,10197,1,163000,1,6,Pave,One_Story,Attchd,North_Ames,42.047782,-93.616552
2007,Typical,Typical,3843,2,230000,1,5,Pave,One_Story,Attchd,Crawford,42.008683,-93.6165709
1959,Typical,Typical,8760,1,148000,0,6,Pave,One_Story,Attchd,North_Ames,42.043969,-93.616582
2007,Typical,Typical,3843,2,294464,1,5,Pave,One_Story,Attchd,Crawford,42.008803,-93.616584
1965,Typical,Typical,13700,1,201800,2,8,Pave,Two_Story,Attchd,North_Ames,42.048952,-93.6167
1945,Good,Typical,8480,1,113000,0,4,Pave,One_Story,Detchd,North_Ames,42.0372232,-93.6167912
1920,Fair,Fair,8500,1,40000,0,6,Pave,Two_Story,Detchd,Iowa_DOT_and_Rail_Road,42.021506,-93.616848
1910,Typical,Fair,5150,1,80900,0,5,Pave,One_and_Half_Fin,Detchd,Iowa_DOT_and_Rail_Road,42.021594,-93.616849
1964,Typical,Typical,12700,1,172000,2,6,Pave,SLvl,Attchd,North_Ames,42.049031,-93.616852
1954,Typical,Typical,9250,1,139400,0,6,Pave,One_Story,Attchd,North_Ames,42.0423095,-93.6168658
1924,Good,Typical,7000,2,112000,0,6,Pave,One_and_Half_Fin,Attchd,Old_Town,42.0347269,-93.6168701
1917,Typical,Fair,9600,1,129500,1,8,Pave,Two_and_Half_Unf,Detchd,Old_Town,42.02793,-93.616885
1900,Typical,Fair,9600,2,87000,0,8,Pave,Two_Story,More_Than_Two_Types,Old_Town,42.027993,-93.616886
1900,Good,Typical,9600,2,150000,0,7,Pave,Two_Story,Detchd,Old_Town,42.028099,-93.616887
1915,Fair,No_Garage,8470,1,85000,0,6,Pave,One_and_Half_Fin,No_Garage,Iowa_DOT_and_Rail_Road,42.020184,-93.616895
1900,Typical,Typical,13600,2,90000,0,10,Pave,Two_Story,Detchd,Old_Town,42.029223,-93.616911
1895,Good,No_Garage,8250,2,119600,0,9,Pave,Two_Story,No_Garage,Iowa_DOT_and_Rail_Road,42.020077,-93.616969
1910,Good,Good,9600,2,132000,0,7,Pave,Two_Story,Detchd,Old_Town,42.032254,-93.616988
1940,Typical,Typical,4800,1,64000,0,4,Pave,One_Story,Detchd,Old_Town,42.032419,-93.616991
1962,Good,Typical,8400,1,174000,1,7,Pave,One_Story,Attchd,North_Ames,42.0470799,-93.6169916
1928,Excellent,Typical,9600,2,161000,1,7,Pave,Two_Story,Detchd,Old_Town,42.027032,-93.616996
1905,Typical,No_Garage,6000,1,129400,0,7,Pave,Two_Story,No_Garage,Old_Town,42.027073,-93.616998
1900,Typical,Typical,4800,1,80400,2,9,Pave,One_and_Half_Fin,Basment,Old_Town,42.033313,-93.617014
1880,Typical,Typical,9900,2,117500,0,8,Pave,Two_Story,Detchd,Old_Town,42.028076,-93.617037
1910,Good,Typical,9600,2,87500,0,7,Pave,Two_Story,Detchd,Old_Town,42.029007,-93.617054
1966,Typical,Typical,10050,2,175000,1,6,Pave,SFoyer,Basment,North_Ames,42.048934,-93.61706
1925,Typical,Fair,9600,1,125000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.029218,-93.617061
1951,Typical,Typical,10170,1,155000,1,5,Pave,One_Story,Attchd,North_Ames,42.038357,-93.617069
1953,Typical,Typical,7677,1,110000,0,4,Pave,One_Story,Attchd,North_Ames,42.038516,-93.61707
1953,Typical,Typical,8923,1,134500,0,6,Pave,One_Story,Attchd,North_Ames,42.039369,-93.617075
1953,Typical,Typical,9373,1,137500,0,6,Pave,One_Story,Detchd,North_Ames,42.040301,-93.617084
1953,Typical,Typical,12774,1,130000,0,5,Pave,One_Story,Detchd,North_Ames,42.040391,-93.617086
1955,Good,Typical,10895,1,122500,0,5,Pave,One_Story,Attchd,North_Ames,42.04137,-93.617092
1915,Typical,Fair,6000,1,139500,0,7,Pave,Two_and_Half_Unf,Detchd,Old_Town,42.03136,-93.617106
1959,Typical,Typical,8050,1,136000,0,6,Pave,One_Story,Attchd,North_Ames,42.042908,-93.617117
1980,Typical,Typical,7200,1,140000,0,4,Pave,SFoyer,Detchd,Old_Town,42.031369,-93.617135
1910,Typical,No_Garage,8800,1,96500,0,7,Pave,One_and_Half_Fin,No_Garage,Old_Town,42.032134,-93.617135
1900,Typical,Typical,9600,1,156500,0,7,Pave,One_and_Half_Fin,Detchd,Old_Town,42.032346,-93.617139
1948,Typical,Typical,9600,1,135000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.033385,-93.617164
1955,Typical,Typical,7390,1,135000,0,6,Pave,One_Story,Attchd,North_Ames,42.042373,-93.617179
1947,Typical,Typical,7500,1,127000,0,6,Pave,One_and_Half_Fin,Detchd,North_Ames,42.034617,-93.617182
1948,Good,Typical,8000,1,132000,1,5,Pave,One_Story,Detchd,North_Ames,42.034746,-93.617182
1950,Typical,Typical,9600,1,129900,0,6,Pave,One_Story,Attchd,North_Ames,42.035829,-93.61719
1949,Typical,Typical,9600,1,135000,0,4,Pave,One_and_Half_Unf,Detchd,North_Ames,42.035932,-93.617191
1951,Typical,Typical,14559,1,164900,2,6,Pave,One_Story,CarPort,North_Ames,42.037122,-93.617207
1951,Typical,Typical,13070,1,126000,0,5,Pave,One_Story,Basment,North_Ames,42.038356,-93.617219
1958,Typical,Typical,13587,1,119000,0,5,Pave,One_Story,Attchd,North_Ames,42.038515,-93.61722
1952,Typical,Typical,12778,1,139500,0,4,Pave,One_Story,Attchd,North_Ames,42.039447,-93.617225
1952,Typical,Typical,11556,1,116000,0,4,Pave,One_Story,Attchd,North_Ames,42.040479,-93.617238
1953,Excellent,Typical,11556,1,142000,0,6,Pave,One_Story,Detchd,North_Ames,42.041243,-93.617242
1973,Good,Typical,13651,2,244000,2,8,Pave,One_Story,Attchd,North_Ames,42.049671,-93.617273
1970,Good,Typical,15865,2,268000,1,8,Pave,One_Story,Attchd,North_Ames,42.050443,-93.61728
1968,Typical,Typical,11160,2,244000,2,8,Pave,One_Story,Attchd,North_Ames,42.051245,-93.61732
1920,Typical,Typical,9600,2,130000,0,10,Pave,Two_Story,More_Than_Two_Types,Old_Town,42.028287,-93.617386
1969,Typical,Typical,11075,2,206900,2,9,Pave,Two_Story,Attchd,North_Ames,42.049587,-93.617424
1969,Good,Typical,11727,2,192100,1,8,Pave,One_Story,Attchd,North_Ames,42.050507,-93.617432
1959,Good,Typical,8163,1,143000,1,6,Pave,SLvl,Attchd,North_Ames,42.043897,-93.617499
1958,Typical,Typical,8176,1,139000,0,6,Pave,One_Story,Attchd,North_Ames,42.043932,-93.617521
1958,Typical,Typical,9120,1,163000,1,6,Pave,One_Story,Attchd,North_Ames,42.044853,-93.617543
1959,Typical,Typical,9840,2,185000,0,7,Pave,One_Story,Attchd,North_Ames,42.044791,-93.617544
2003,Typical,Typical,8197,2,214000,0,7,Pave,One_Story,Attchd,North_Ames,42.043984,-93.617553
1946,Good,Typical,3378,1,135000,2,6,Pave,Two_Story,Detchd,Old_Town,42.0303538,-93.6176367
1920,Typical,Typical,3153,1,99900,1,5,Pave,One_Story,Detchd,Old_Town,42.0311108,-93.6176729
1958,Typical,Typical,8267,2,135000,0,8,Pave,One_Story,Attchd,North_Ames,42.044895,-93.617693
1959,Typical,Typical,10552,1,165500,1,6,Pave,One_Story,Attchd,North_Ames,42.0430839,-93.6177041
1961,Typical,Typical,7875,1,139950,0,6,Pave,One_Story,Attchd,North_Ames,42.0470858,-93.6178602
1947,Typical,Typical,3500,1,110000,0,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0290352,-93.6178679
1957,Typical,Typical,5805,1,143000,0,6,Pave,One_Story,Detchd,Old_Town,42.0303783,-93.6179112
1961,Typical,Typical,10573,2,187500,1,6,Pave,One_Story,Attchd,North_Ames,42.048294,-93.617963
1926,Typical,Typical,3950,1,115000,0,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0342224,-93.6179738
1954,Typical,Typical,9000,1,118000,0,5,Pave,One_Story,Attchd,North_Ames,42.0422973,-93.6181153
1958,Typical,Typical,11344,1,144000,0,7,Pave,One_and_Half_Fin,Attchd,North_Ames,42.0459325,-93.618143
1956,Good,Typical,10533,1,157500,2,5,Pave,One_Story,Attchd,North_Ames,42.053327,-93.618182
1966,Typical,Typical,11380,1,178000,1,5,Pave,SFoyer,Attchd,North_Ames,42.048494,-93.618221
1910,Fair,Poor,9142,2,137000,0,9,Pave,Two_Story,Detchd,Old_Town,42.029142,-93.618293
1910,Typical,Fair,4571,1,114000,0,6,Pave,Two_Story,Detchd,Old_Town,42.029198,-93.618294
1916,Typical,Fair,4571,1,98000,0,7,Pave,Two_Story,Detchd,Old_Town,42.029253,-93.618296
1900,Typical,Typical,9143,1,114000,0,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.029281,-93.618297
1979,Typical,Typical,7032,1,135960,2,4,Pave,SFoyer,Detchd,North_Ames,42.041821,-93.618319
1924,Typical,Typical,7741,1,108000,0,5,Pave,One_Story,Detchd,Old_Town,42.030463,-93.618334
1900,Typical,Typical,7745,2,111500,0,9,Pave,One_and_Half_Fin,Detchd,Old_Town,42.030396,-93.618335
1963,Typical,Typical,9723,1,135000,0,5,Pave,One_Story,Attchd,North_Ames,42.043129,-93.618389
1956,Typical,Typical,6860,1,131000,0,6,Pave,One_Story,Detchd,North_Ames,42.043143,-93.618404
1960,Typical,Typical,11600,2,154300,0,12,Pave,Two_Story,Detchd,North_Ames,42.0459375,-93.6184183
1953,Typical,Typical,7942,1,136000,0,6,Pave,One_Story,Attchd,North_Ames,42.03981,-93.618428
1953,Good,Typical,7922,1,109000,0,5,Pave,One_Story,Detchd,North_Ames,42.039841,-93.618428
1900,Fair,Poor,9142,2,139500,0,10,Pave,Two_Story,Detchd,Old_Town,42.029028,-93.61844
1953,Typical,Typical,12099,1,156000,1,7,Pave,One_and_Half_Fin,Attchd,North_Ames,42.036077,-93.618445
1957,Typical,Typical,12436,2,146000,0,9,Pave,One_Story,Detchd,North_Ames,42.03471,-93.618457
1954,Typical,Typical,11027,2,149900,0,5,Pave,One_Story,Attchd,North_Ames,42.053406,-93.618462
1954,Typical,Typical,8532,1,153000,1,5,Pave,One_Story,Attchd,North_Ames,42.040857,-93.618478
1958,Typical,Typical,8078,2,128600,0,8,Pave,One_Story,Detchd,North_Ames,42.040773,-93.61848
1954,Good,Typical,8092,1,156000,0,6,Pave,One_Story,Attchd,North_Ames,42.040745,-93.618481
1892,Typical,Typical,6600,2,107500,0,11,Pave,Two_Story,Attchd,Old_Town,42.031305,-93.618486
1925,Typical,Typical,9600,1,178000,1,6,Pave,Two_Story,Detchd,Old_Town,42.03139,-93.618489
1970,Good,Typical,10628,1,167000,1,5,Pave,One_Story,Attchd,North_Ames,42.051357,-93.618503
1971,Typical,Typical,10667,2,167300,1,7,Pave,One_Story,Attchd,North_Ames,42.051297,-93.618504
1920,Typical,Fair,5520,1,111500,1,9,Pave,One_and_Half_Fin,Detchd,Old_Town,42.032144,-93.61852
1900,Good,Typical,9856,2,169000,0,8,Pave,Two_Story,Detchd,Old_Town,42.033267,-93.618539
1954,Typical,Typical,8128,1,131000,0,6,Pave,One_Story,Attchd,North_Ames,42.039674,-93.618549
1954,Typical,Typical,11310,1,140000,1,5,Pave,One_Story,Attchd,North_Ames,42.040252,-93.618593
1952,Typical,Typical,7626,1,145500,0,5,Pave,One_Story,Attchd,North_Ames,42.034918,-93.618605
1953,Typical,Typical,9532,1,153000,1,6,Pave,One_Story,Attchd,North_Ames,42.034789,-93.618606
1953,Typical,Typical,9533,1,102900,0,7,Pave,One_Story,Attchd,North_Ames,42.034686,-93.618607
1957,Typical,Typical,8400,1,132000,1,6,Pave,One_Story,Attchd,North_Ames,42.04498,-93.618625
1957,Good,Typical,8400,1,145000,0,5,Pave,One_Story,Attchd,North_Ames,42.044847,-93.618626
1957,Typical,Typical,8856,1,136500,2,6,Pave,One_Story,Attchd,North_Ames,42.043988,-93.618634
1957,Typical,Typical,8400,1,156500,2,6,Pave,One_Story,Attchd,North_Ames,42.044125,-93.61864
1920,Typical,No_Garage,4456,2,113000,0,8,Pave,Two_Story,No_Garage,Old_Town,42.0296722,-93.618648
1910,Good,Typical,10337,2,184900,0,7,Pave,Two_Story,Detchd,Old_Town,42.03013,-93.618662
1956,Typical,Typical,8760,1,150000,0,6,Pave,One_Story,Attchd,North_Ames,42.043966,-93.618784
1957,Typical,Typical,8760,1,141000,0,4,Pave,One_Story,Attchd,North_Ames,42.044053,-93.618786
1954,Typical,Typical,10200,1,144900,0,6,Pave,One_Story,Attchd,North_Ames,42.038249,-93.618788
1930,Typical,Fair,5684,1,110000,0,5,Pave,One_Story,Detchd,Old_Town,42.03121,-93.618799
1958,Typical,Typical,11029,1,176500,1,6,Pave,One_Story,Attchd,North_Ames,42.0525525,-93.6188286
1910,Typical,Typical,8398,2,144100,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0280396,-93.6188503
1956,Typical,Typical,13008,1,124500,0,5,Pave,One_Story,Attchd,North_Ames,42.0530363,-93.6188955
1910,Typical,No_Garage,11426,2,118000,0,9,Pave,One_and_Half_Fin,No_Garage,Old_Town,42.030427,-93.6189373
1926,Good,Typical,6978,1,103000,0,5,Pave,One_Story,Detchd,Old_Town,42.034403,-93.618969
1935,Typical,Fair,4080,1,128900,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0320748,-93.619013
1962,Good,Typical,7763,1,140000,0,6,Pave,One_Story,Detchd,North_Ames,42.044736,-93.619022
1920,Good,Typical,12513,2,104900,1,7,Pave,One_and_Half_Fin,Attchd,North_Ames,42.044886,-93.619029
1953,Typical,Typical,10634,1,123000,0,5,Pave,One_Story,Attchd,North_Ames,42.0385265,-93.6190376
1927,Typical,Typical,6000,1,127500,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0314733,-93.6190545
1927,Typical,Typical,9863,1,145000,1,9,Pave,Two_Story,Detchd,Old_Town,42.0299846,-93.6190848
1956,Typical,Typical,5868,1,129000,0,4,Pave,One_Story,Attchd,North_Ames,42.0381282,-93.6192014
1957,Typical,Typical,11765,1,169000,1,7,Pave,One_Story,Attchd,North_Ames,42.0531078,-93.6192621
1955,Typical,Typical,10050,1,129500,0,5,Pave,One_Story,Attchd,North_Ames,42.0418697,-93.6192677
1963,Typical,Typical,9204,1,124000,0,6,Pave,One_Story,Detchd,North_Ames,42.0423032,-93.6193303
1962,Typical,Typical,7728,1,132500,0,6,Pave,SLvl,Attchd,North_Ames,42.044735,-93.619334
1963,Typical,Typical,8250,1,142100,0,6,Pave,One_Story,More_Than_Two_Types,North_Ames,42.044735,-93.619352
1968,Typical,Typical,8668,2,126000,0,8,Pave,One_Story,Detchd,North_Ames,42.049216,-93.619383
1958,Typical,Typical,14267,1,172000,0,6,Pave,One_Story,Attchd,North_Ames,42.052659,-93.6193873
1957,Typical,Typical,14250,2,180000,2,6,Pave,One_Story,Attchd,North_Ames,42.0404436,-93.6194043
1925,Typical,Typical,5232,1,73000,0,4,Pave,One_Story,Detchd,Old_Town,42.034128,-93.619415
1910,Typical,Typical,10307,2,103500,0,12,Pave,Two_Story,Detchd,Old_Town,42.0323259,-93.6195025
1900,Typical,Typical,6451,1,139900,0,7,Pave,Two_Story,Detchd,Old_Town,42.031506,-93.619513
1939,Typical,Typical,6406,1,150000,1,7,Pave,Two_Story,Detchd,Old_Town,42.0319053,-93.6195361
1925,Typical,Typical,9906,1,107000,0,8,Pave,Two_Story,Detchd,Old_Town,42.0334994,-93.6195519
1974,Typical,Typical,10200,2,157000,1,7,Pave,One_Story,Attchd,North_Ames,42.05139,-93.619562
2008,Typical,Typical,9836,1,143000,0,7,Pave,One_Story,Detchd,Old_Town,42.0342174,-93.6195726
2003,Typical,Typical,11426,2,200000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0304142,-93.6195822
1967,Typical,Typical,8917,2,119000,0,8,Pave,One_Story,Detchd,North_Ames,42.0493,-93.619673
1967,Typical,Typical,8944,2,124000,0,8,Pave,One_Story,Detchd,North_Ames,42.049306,-93.619673
1952,Typical,Typical,15783,1,112500,0,6,Pave,One_Story,Detchd,Old_Town,42.0347206,-93.6197518
1960,Typical,Typical,31770,1,215000,2,7,Pave,One_Story,Attchd,North_Ames,42.054035,-93.619754
1961,Typical,Typical,11622,1,105000,0,5,Pave,One_Story,Attchd,North_Ames,42.053014,-93.619756
1940,Good,Typical,7628,2,119164,0,8,Pave,One_and_Half_Fin,Detchd,Old_Town,42.030418,-93.6198478
1962,Typical,Typical,19296,1,176000,1,6,Pave,SLvl,Attchd,North_Ames,42.040931,-93.620016
1948,Typical,Typical,9184,1,122600,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.032611,-93.62005
1920,Typical,No_Garage,7627,2,94550,0,8,Pave,Two_Story,No_Garage,Old_Town,42.0304742,-93.6200683
1900,Typical,Fair,10615,2,95000,0,7,Pave,Two_Story,CarPort,Old_Town,42.034754,-93.62008
1915,Typical,Typical,12665,1,153900,1,7,Pave,One_and_Half_Fin,Detchd,Old_Town,42.029058,-93.620179
1920,Typical,Typical,5350,1,132000,0,7,Pave,Two_Story,Detchd,Old_Town,42.02928,-93.620183
1952,Typical,Typical,7596,2,124500,0,10,Pave,Two_Story,Detchd,Old_Town,42.030327,-93.620216
1920,Fair,Fair,7308,1,122250,1,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.030482,-93.620219
1922,Typical,Fair,4480,1,89500,1,4,Pave,One_Story,Detchd,Old_Town,42.03131,-93.62024
1920,Typical,No_Garage,4485,1,109500,1,5,Pave,One_Story,No_Garage,Old_Town,42.031363,-93.62024
1927,Typical,Typical,8960,1,115000,1,5,Pave,One_Story,Detchd,Old_Town,42.031381,-93.620241
1941,Typical,Typical,5720,1,66500,0,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.032396,-93.62026
1916,Good,Typical,8520,2,136000,1,10,Pave,One_and_Half_Fin,Detchd,Old_Town,42.02911,-93.62033
1948,Typical,Typical,11419,1,152500,1,6,Pave,Two_Story,Attchd,North_Ames,42.036223,-93.620336
1948,Typical,Typical,17503,1,97500,1,6,Pave,One_and_Half_Fin,Attchd,North_Ames,42.035869,-93.620341
1890,Good,No_Garage,14190,2,138000,0,7,Pave,One_and_Half_Fin,No_Garage,Old_Town,42.034812,-93.620343
1925,Fair,Typical,22136,2,180000,1,10,Pave,One_and_Half_Fin,Attchd,Old_Town,42.034934,-93.620354
1918,Good,Typical,25419,2,235000,1,8,Pave,Two_Story,Detchd,North_Ames,42.042156,-93.620355
1900,Good,Typical,7630,2,140000,1,8,Pave,Two_Story,Detchd,Old_Town,42.026741,-93.620386
1931,Typical,Typical,6120,2,129900,2,8,Pave,One_and_Half_Fin,Detchd,Old_Town,42.031432,-93.620391
1923,Typical,Typical,6120,2,123500,0,7,Pave,Two_Story,Detchd,Old_Town,42.031467,-93.620392
1923,Typical,Typical,6120,1,109500,1,5,Pave,One_Story,Detchd,Old_Town,42.032302,-93.620409
1925,Good,Typical,6000,1,110500,1,5,Pave,One_Story,Detchd,Old_Town,42.032417,-93.620411
1939,Typical,Typical,7800,1,119900,1,5,Pave,One_and_Half_Fin,Detchd,Old_Town,42.033369,-93.620433
1953,Typical,Typical,7584,1,112900,0,5,Pave,One_Story,Attchd,North_Ames,42.034679,-93.620487
1942,Typical,Typical,9480,1,146500,2,7,Pave,Two_Story,Attchd,North_Ames,42.034755,-93.620491
1941,Typical,Typical,9490,1,133000,2,5,Pave,One_and_Half_Fin,Attchd,North_Ames,42.034831,-93.620494
1941,Typical,Typical,9492,1,105000,1,6,Pave,One_and_Half_Fin,Attchd,North_Ames,42.034906,-93.620497
1949,Good,Typical,17360,2,172500,1,6,Pave,One_and_Half_Fin,Attchd,North_Ames,42.038538,-93.620504
1952,Typical,Typical,9724,2,197600,2,7,Pave,One_and_Half_Fin,Detchd,North_Ames,42.039211,-93.620651
1910,Typical,Fair,4347,1,127500,0,7,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0286305,-93.6208294
1918,Good,Typical,7755,2,200000,0,8,Pave,Two_Story,Detchd,Old_Town,42.0304477,-93.6209132
1925,Good,Typical,5100,1,161000,1,7,Pave,Two_Story,Detchd,Old_Town,42.029038,-93.621065
1926,Typical,Typical,6180,1,102000,1,5,Pave,One_Story,Detchd,Brookside,42.0314873,-93.6212119
1956,Typical,Typical,7785,1,98000,0,6,Pave,One_Story,Attchd,North_Ames,42.042398,-93.621336
1956,Typical,Typical,7450,1,124000,1,6,Pave,One_Story,Detchd,North_Ames,42.042485,-93.621344
1938,Typical,Typical,6120,2,150000,1,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.03235,-93.621351
1958,Typical,Typical,7535,1,120000,0,5,Pave,One_Story,Attchd,North_Ames,42.042577,-93.621352
1925,Fair,Typical,8635,1,126500,0,5,Pave,One_Story,Detchd,Brookside,42.0310861,-93.6213592
1958,Typical,Typical,8973,1,150000,0,6,Pave,One_Story,More_Than_Two_Types,North_Ames,42.040273,-93.621362
1962,Typical,Typical,9842,2,101800,0,6,Pave,One_Story,CarPort,North_Ames,42.041332,-93.621368
1947,Typical,Typical,9724,1,137000,1,5,Pave,One_Story,Detchd,North_Ames,42.039202,-93.621399
1949,Typical,Typical,9462,1,137000,1,7,Pave,Two_Story,Attchd,North_Ames,42.035987,-93.621426
1954,Good,Typical,9888,1,121000,0,5,Pave,One_Story,Attchd,North_Ames,42.037247,-93.62143
1954,Typical,Typical,7800,1,132000,1,7,Pave,One_Story,Attchd,North_Ames,42.037424,-93.621431
1960,Typical,Typical,8680,1,117600,0,5,Pave,One_Story,Detchd,North_Ames,42.043627,-93.62144
1961,Good,Typical,8243,1,137500,1,5,Pave,One_Story,Detchd,North_Ames,42.043609,-93.621452
1930,Typical,Typical,6240,2,138400,1,7,Pave,One_and_Half_Fin,Detchd,Brookside,42.031337,-93.621482
1928,Typical,Typical,6240,1,149000,1,8,Pave,One_and_Half_Fin,Detchd,Brookside,42.031436,-93.621484
1939,Typical,Typical,6240,2,150000,1,7,Pave,One_and_Half_Fin,Detchd,Brookside,42.031496,-93.621485
1948,Typical,Fair,11345,2,137000,0,10,Pave,Two_Story,Detchd,North_Ames,42.03465,-93.621485
1941,Good,Typical,6000,1,131000,1,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.033336,-93.621501
1920,Typical,Fair,6120,1,137500,0,8,Pave,Two_Story,Detchd,Brookside,42.032386,-93.621502
1940,Typical,Typical,12172,1,138500,0,4,Pave,One_and_Half_Unf,Attchd,North_Ames,42.0392,-93.621503
1915,Typical,Fair,2500,1,155000,1,7,Pave,Two_Story,Attchd,Old_Town,42.027854,-93.621504
1926,Typical,Typical,6120,1,132500,0,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.032505,-93.621504
1915,Good,Typical,9928,2,179900,0,8,Pave,Two_Story,Detchd,Old_Town,42.027998,-93.621506
1915,Typical,Fair,8094,2,155000,0,8,Pave,Two_Story,Detchd,Old_Town,42.028948,-93.621525
1939,Typical,Typical,6000,2,105000,1,7,Pave,One_and_Half_Fin,Detchd,Brookside,42.033366,-93.621532
1937,Good,Typical,6000,2,157000,0,5,Pave,One_and_Half_Fin,Detchd,Brookside,42.033473,-93.621532
1910,Good,Typical,5310,1,117000,0,5,Pave,One_and_Half_Fin,Attchd,Old_Town,42.026886,-93.621562
1960,Typical,Typical,12493,1,141000,1,6,Pave,One_Story,Attchd,North_Ames,42.041172,-93.621566
1958,Fair,Typical,10382,1,140000,0,6,Pave,SLvl,Attchd,North_Ames,42.041314,-93.621621
1920,Good,Typical,3068,1,122000,0,6,Pave,Two_Story,Detchd,Old_Town,42.026914,-93.621632
1922,Typical,No_Garage,3000,2,62500,0,11,Pave,Two_Story,No_Garage,Old_Town,42.026956,-93.621633
1912,Typical,No_Garage,5520,1,104000,0,8,Pave,Two_and_Half_Fin,No_Garage,Old_Town,42.027039,-93.621635
1971,Typical,Typical,9000,1,120500,0,5,Pave,One_Story,Detchd,North_Ames,42.056395,-93.621646
1915,Fair,Typical,8094,1,149500,1,9,Pave,One_and_Half_Fin,Detchd,Old_Town,42.028888,-93.621674
1910,Typical,No_Garage,8094,2,160000,0,8,Pave,Two_and_Half_Unf,Detchd,Old_Town,42.02903,-93.621676
1924,Typical,Typical,6000,1,93000,0,6,Pave,One_and_Half_Fin,Attchd,Brookside,42.033496,-93.621677
1955,Typical,Typical,9768,1,122000,0,5,Pave,One_Story,Attchd,North_Ames,42.038596,-93.621699
1902,Fair,No_Garage,5852,2,97500,0,9,Pave,Two_and_Half_Unf,No_Garage,Old_Town,42.0260296,-93.6217097
1912,Good,No_Garage,12900,1,159900,0,7,Pave,Two_Story,No_Garage,Old_Town,42.028875,-93.621835
1915,Typical,Typical,5775,1,123000,0,7,Pave,Two_Story,Attchd,Old_Town,42.025796,-93.621862
1930,Good,No_Garage,4388,1,87000,1,5,Pave,One_and_Half_Unf,No_Garage,Old_Town,42.0261614,-93.62188
1948,Typical,Typical,8635,1,127000,0,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.031057,-93.6218858
1920,Typical,No_Garage,5586,1,79900,0,7,Pave,One_and_Half_Fin,No_Garage,Old_Town,42.0262558,-93.621921
1959,Typical,Typical,10721,1,142000,0,7,Pave,One_Story,Detchd,North_Ames,42.0418699,-93.6219226
1901,Typical,Typical,5680,1,117000,0,6,Pave,One_and_Half_Fin,Detchd,Old_Town,42.0275775,-93.6220032
1948,Typical,Typical,14762,2,169000,1,7,Pave,Two_Story,Attchd,Gilbert,42.0593867,-93.6220148
1960,Typical,Typical,10800,1,151500,0,6,Pave,One_Story,Attchd,North_Ames,42.040143,-93.622017
1910,Typical,Typical,10120,1,122000,1,9,Pave,Two_and_Half_Unf,Detchd,Old_Town,42.025893,-93.622025
1960,Typical,Typical,11332,1,153000,0,6,Pave,One_Story,Attchd,North_Ames,42.040296,-93.622076
1926,Typical,Typical,5000,1,113000,0,6,Pave,One_and_Half_Unf,Detchd,Brookside,42.033493,-93.622102
1901,Typical,Fair,5680,2,113000,0,7,Pave,One_and_Half_Fin,Detchd,Old_Town,42.02752,-93.622147
1952,Typical,Typical,31220,1,115000,2,7,Pave,One_Story,Attchd,Gilbert,42.059792,-93.622299
1959,Typical,Typical,8393,2,145000,0,8,Pave,One_Story,Attchd,North_Ames,42.042114,-93.622312
1959,Typical,Typical,8339,1,106500,0,5,Pave,One_Story,Attchd,North_Ames,42.042479,-93.62232
1971,Good,Typical,9000,1,130000,0,5,Pave,One_Story,Detchd,North_Ames,42.056461,-93.6223289
1922,Typical,Typical,6380,1,113000,1,5,Pave,One_and_Half_Unf,Detchd,Brookside,42.030389,-93.622386
1929,Typical,Typical,6120,1,132000,0,5,Pave,One_and_Half_Unf,Detchd,Brookside,42.031321,-93.6224
1931,Typical,Typical,6240,1,127500,1,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.031483,-93.622402
1930,Good,Typical,6120,1,110000,0,7,Pave,One_and_Half_Fin,Detchd,Brookside,42.032418,-93.622415
1926,Typical,Typical,6000,1,119000,0,4,Pave,One_and_Half_Unf,Detchd,Brookside,42.033474,-93.622443
1948,Typical,Typical,6000,1,139900,0,6,Pave,One_and_Half_Fin,Detchd,Brookside,42.033631,-93.622448
1959,Typical,Typical,8125,1,118000,0,5,Pave,One_Story,Detchd,North_Ames,42.042241,-93.622465
1956,Good,Typical,13495,2,177625,1,7,Pave,One_Story,Detchd,North_Ames,42.044926,-93.622476
